#Parameters = {f=2856; mc=25}
#"Frequency / MHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
2850.0000000000	-0.35851566694216
2850.0100000000	-0.36172993058691
2850.0200000000	-0.36498907066371
2850.0300000000	-0.36829388932387
2850.0400000000	-0.37164520567652
2850.0500000000	-0.37504385619513
2850.0600000000	-0.37849069513459
2850.0700000000	-0.38198659495948
2850.0800000000	-0.38553244678355
2850.0900000000	-0.38912916082097
2850.1000000000	-0.39277766684950
2850.1100000000	-0.39647891468605
2850.1200000000	-0.40023387467491
2850.1300000000	-0.40404353818901
2850.1400000000	-0.40790891814469
2850.1500000000	-0.41183104953016
2850.1600000000	-0.41581098994825
2850.1700000000	-0.41984982017376
2850.1800000000	-0.42394864472579
2850.1900000000	-0.42810859245557
2850.2000000000	-0.43233081715025
2850.2100000000	-0.43661649815290
2850.2200000000	-0.44096684099948
2850.2300000000	-0.44538307807309
2850.2400000000	-0.44986646927599
2850.2500000000	-0.45441830271999
2850.2600000000	-0.45903989543567
2850.2700000000	-0.46373259410104
2850.2800000000	-0.46849777579009
2850.2900000000	-0.47333684874193
2850.3000000000	-0.47825125315103
2850.3100000000	-0.48324246197920
2850.3200000000	-0.48831198178991
2850.3300000000	-0.49346135360568
2850.3400000000	-0.49869215378905
2850.3500000000	-0.50400599494798
2850.3600000000	-0.50940452686628
2850.3700000000	-0.51488943745982
2850.3800000000	-0.52046245375925
2850.3900000000	-0.52612534292003
2850.4000000000	-0.53187991326052
2850.4100000000	-0.53772801532900
2850.4200000000	-0.54367154300032
2850.4300000000	-0.54971243460318
2850.4400000000	-0.55585267407887
2850.4500000000	-0.56209429217232
2850.4600000000	-0.56843936765649
2850.4700000000	-0.57489002859090
2850.4800000000	-0.58144845361550
2850.4900000000	-0.58811687328068
2850.5000000000	-0.59489757141456
2850.5100000000	-0.60179288652862
2850.5200000000	-0.60880521326271
2850.5300000000	-0.61593700387064
2850.5400000000	-0.62319076974744
2850.5500000000	-0.63056908299943
